City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Omboue,GA,2021-07-29 01:29:37,-1.5746,9.2618,72.91,84,83,6.44
68,Georgetown,MY,2021-07-29 01:25:05,5.4112,100.3354,79.9,90,20,2.3
69,Denia,ES,2021-07-29 01:29:38,38.8408,0.1057,77.47,87,0,3.0
70,Mount Isa,AU,2021-07-29 01:25:29,-20.7333,139.5,82.17,21,0,10.36
71,Naze,JP,2021-07-29 01:29:29,28.3667,129.4833,83.32,85,37,8.77
72,Adrar,MR,2021-07-29 01:29:22,20.5022,-10.0711,89.85,30,94,18.99
73,Cape Town,ZA,2021-07-29 01:27:17,-33.9258,18.4232,55.11,75,75,5.99
74,Iaciara,BR,2021-07-29 01:29:38,-14.0958,-46.6317,72.75,27,0,1.77
75,Suntar,RU,2021-07-29 01:25:39,62.1444,117.6319,74.03,40,0,5.57
76,Bilma,NE,2021-07-29 01:29:39,18.6853,12.9164,92.79,32,42,7.18
77,Bibiani,GH,2021-07-29 01:29:39,6.4635,-2.3194,66.76,92,56,2.04
78,Russell,US,2021-07-29 01:29:40,32.3502,-85.1999,87.03,60,83,0.69
79,Tuktoyaktuk,CA,2021-07-29 01:27:17,69.4541,-133.0374,55.4,71,75,11.5
80,Camacha,PT,2021-07-29 01:29:40,33.0833,-16.3333,68.76,78,40,12.66
81,Cerrito,CO,2021-07-29 01:29:40,6.8432,-72.694,52.99,91,100,3.69
82,Vaini,TO,2021-07-29 01:29:41,-21.2,-175.2,75.36,73,20,9.22
83,Kizema,RU,2021-07-29 01:29:41,61.113,44.8302,52.92,73,17,4.56
84,Thinadhoo,MV,2021-07-29 01:29:41,0.5333,72.9333,81.0,70,99,2.21
85,Kodiak,US,2021-07-29 01:29:42,57.79,-152.4072,60.31,59,90,5.75
86,Inhambane,MZ,2021-07-29 01:29:42,-23.865,35.3833,64.22,70,0,2.04
87,Butaritari,KI,2021-07-29 01:29:42,3.0707,172.7902,82.85,71,15,10.18
88,San Pedro,PH,2021-07-29 01:28:53,14.35,121.0167,82.15,94,90,8.05
89,Bonavista,CA,2021-07-29 01:29:43,48.6499,-53.1147,67.12,97,96,13.15
90,Murray Bridge,AU,2021-07-29 01:29:43,-35.1167,139.2667,57.38,56,0,10.98
91,Nhulunbuy,AU,2021-07-29 01:25:28,-12.2333,136.7667,84.81,61,20,12.66
92,Clyde River,CA,2021-07-29 01:27:51,70.4692,-68.5914,43.03,87,20,6.91
93,Victoria,HK,2021-07-29 01:27:29,22.2855,114.1577,88.97,89,96,1.99
94,Khatanga,RU,2021-07-29 01:29:44,71.9667,102.5,69.31,61,57,10.85
95,Riyadh,SA,2021-07-29 01:27:34,24.6877,46.7219,91.54,15,100,7.4
96,Atuona,PF,2021-07-29 01:29:44,-9.8,-139.0333,77.36,67,14,17.63
97,Kapaa,US,2021-07-29 01:29:44,22.0752,-159.319,87.78,70,40,5.01
98,Montanha,BR,2021-07-29 01:29:45,-18.1269,-40.3633,69.55,79,3,4.61
99,Ostrovnoy,RU,2021-07-29 01:29:45,68.0531,39.5131,46.13,75,100,3.87
100,Saskylakh,RU,2021-07-29 01:29:45,71.9167,114.0833,69.53,38,100,15.97
101,Nanortalik,GL,2021-07-29 01:29:09,60.1432,-45.2371,44.53,90,57,8.63
